Products,Exporter name,Quantity (Lakhs),Location,State,Latitude,Longitude,Gmap link,Distance(in km),,
COCONUTS,RVK INTERNATIONATIONAL,3.0826,Nagapattinam,Tamil Nadu,10.75684091,79.8260423,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.757631621374449,+79.82604230150802/@10.4782275,76.7195068,8z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d79.8260423!2d10.7576316!5m1!1e1?entry=ttu",534,,
FROZEN YELLOW TUNA,S&S TRADING COMPANY,1.51104,Thiruvaniyoor,Kerala,9.952045334,76.39170919,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.952045334358369,+76.39170918576595/@9.9504655,76.289484,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3917092!2d9.9520453!5m1!1e1?entry=ttu",17.8,,
COTTON GOODS,S.G. EXPORTS,1.33399,Muvattazpuzha,Kerala,9.984918469,76.58307606,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.984918468996474,+76.58307606055796/@9.9599486,76.3429498,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5830761!2d9.9849185!5m1!1e1?entry=ttu",42.8,,
COCONUTS,S.G.WORLD EXPORTERS,1.56,"Tatatbad,Coimbatore",Tamil Nadu,11.02287425,76.95916549,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.022874251109059,+76.95916549129343/@10.4762454,75.9400845,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9591655!2d11.0228743!5m1!1e1?entry=ttu",192,,
FROZEN SHRIMPS,S.H.MARINE EXIM,18.02456,"Edakochi,Kochi",Kerala,9.905670231,76.29545176,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.905670231113197,+76.29545175769651/@9.9308306,76.2607736,14z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2954518!2d9.9056702!5m1!1e1?entry=ttu",7.2,,
INSTANT COFFEE,S.L.N.COFFEE P.LTD.,29.63952,Coimbatore,Tamil Nadu,10.99872686,77.00034081,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.998726857351492,+77.00034080608675/@10.4642113,75.9425888,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.0003408!2d10.9987269!5m1!1e1?entry=ttu",194,,
FROZEN SQUID,S.L.S.EXPORTS P.LTD.,31.56584,"Edakochi,Kochi",Kerala,9.904626007,76.29527333,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.90462600687018,+76.29527332748553/@9.9298478,76.2606875,14z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2952733!2d9.904626!5m1!1e1?entry=ttu",7.3,,
COTTON GOODS,S.M.FASHION WEAR,3.67275,Tiruppur,Tamil Nadu,11.09876385,77.39026182,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.09876385247587,+77.39026182207606/@10.5163973,76.1631269,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3902618!2d11.0987639!5m1!1e1?entry=ttu",240,,
CASHEW KERNELS,S.N.CASHEW INTERNATIONAL,2.6755,"Peroor,Kottamkara",Kerala,8.914939241,76.63273479,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.914939240982047,+76.63273479427983/@9.43429,75.8092732,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.6327348!2d8.9149392!5m1!1e1?entry=ttu",141,,
SOAP,S.V. PRODUCTS,3.7534,Bangalore ,Karnataka,13.01566639,77.63213718,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/13.015666393496513,+77.63213718021078/@11.4719039,76.0641521,8z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.6321372!2d13.0156664!5m1!1e1?entry=ttu",556,,
RUBBER MATS,SAANVI EXPORTS,2.20164,"Thamarachal,Muhamma",Kerala,9.601431078,76.34242168,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.601431077944921,+76.3424216785752/@9.7777426,76.1302883,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3424217!2d9.6014311!5m1!1e1?entry=ttu",43.8,,
PEANUTS,SACS FOODS,2.0088,Palani,Tamil Nadu,10.45435254,77.51638517,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.45435253705833,+77.51638516798235/@10.3510872,76.5413138,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.5163852!2d10.4543525!5m1!1e1?entry=ttu",245,,
COTTON GARMENTS,SADHA EXPORTS,1.41501,Kuzhiyam,Kerala,8.948729769,76.63751218,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.948729768543142,+76.6375121812553/@9.4518674,75.8092732,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.6375122!2d8.9487298!5m1!1e1?entry=ttu",141,,
FROZEN SQUID,SAFA ENTERPRISES,7.42059,Kochi,Kerala,"9.957357882572422, ",76.26010835,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.95749320310282,+76.2599022634428/@9.9502769,76.253432,15z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2599023!2d9.9574932!5m1!1e1?entry=ttu",6.2,,
SURGICAL GLOVES,SAFE SHIELD INDIA RUBBER PRODUCE P.LTD.,2.15106,SEZ Cochin,Kerala,10.00397527,76.34112532,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.00383373544591,+76.34126903882091/@9.9713092,76.2633644,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.341269!2d10.0038337!5m1!1e1?entry=ttu",18.2,,
FROZEN SQUID,SAFERA FOOD INTERNATIONAL,28.08754,Chellanam,Kerala,9.887009622,76.26143002,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.8870096215814,+76.2614300190304/@9.921549,76.2175301,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.26143!2d9.8870096!5m1!1e1?entry=ttu",10.3,,
COTTON GOODS,SAGS APPARELS,1.24557,"Pudhur,Tiruppur",Tamil Nadu,11.1261654,77.34641129,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.126122056310873,+77.34647754699103/@10.8025963,76.507713,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3464775!2d11.1261221!5m1!1e1?entry=ttu",240,,
RICE,SAI EXPORT AGENCY,5.4,Erode,Tamil Nadu,11.34970651,77.71923748,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.349706512550854,+77.71923747633544/@11.1417779,77.5887604,9.26z/data=!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.7192375!2d11.3497065!5m1!1e1?entry=ttu",287,,
CASHEW KERNELS,SAI EXPORT ENTERPRISES,6.05627,"Mangad P.O,Kollam",Kerala,8.913290058,76.6172107,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.913290058040122,+76.61721069710077/@9.43429,75.8092732,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.6172107!2d8.9132901!5m1!1e1?entry=ttu",138,,
COIR FIBER,SAI SUBSTARATES,1.9713,Dindigul,Tamil Nadu,10.3600886,77.97992048,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.360088603786714,+77.97992047501977/@9.4471574,75.8648063,8z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.9799205!2d10.3600886!5m1!1e1?entry=ttu",300,,
CASHEW KERNELS,SAINEL CASHEW TRADERS,1.05,Kottarakkara,Kerala,8.993286742,76.78487657,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.99328674240906,+76.7848765695928/@9.4930713,76.1967014,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.7848766!2d8.9932867!5m1!1e1?entry=ttu",148,,
REFRACTORY MATERIALS,SAINT GOBAIN INDIA P.LTD.,145.43309,Edapally,Ernakulam,10.01608629,76.31079764,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.01610904888357,+76.31100362330069/@9.9755062,76.2518473,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3110036!2d10.016109!5m1!1e1?entry=ttu",16.6,,
FROZEN YELLOW TUNA,SAIT EXIM CO.,3.7283,"Thoppumpady,Kochi",Kerala,9.940424619,76.26157375,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.940437476080593,+76.2615041306639/@9.9436091,76.2555495,15z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2615041!2d9.9404375!5m1!1e1?entry=ttu",3.7,,
AUTOMOBILES PARTS,SAKTHI AUTO COMP.,19.56347,Coimbatore,Tamil Nadu,11.00254194,76.98245155,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.002541936340235,+76.98245154724593/@10.4669405,75.9400845,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9824515!2d11.0025419!5m1!1e1?entry=ttu",192,,
COTTON YARN,SAKTHI INFRA TEX PVT LTD,1.34086,Perindurai,Tamil Nadu,11.27443641,77.58190566,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.274436407919618,+77.58190565683401/@10.6020274,76.2589756,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.5819057!2d11.2744364!5m1!1e1?entry=ttu",266,,
SOYA EXTRACT,SAKTHI SUGARS LTD.,15.88772,Coimabtaore,Tamil Nadu,11.00422666,76.97931731,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.0042266624081,+76.9793173095154/@10.4669405,75.9400845,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9793173!2d11.0042267!5m1!1e1?entry=ttu",192,,
COCONUTS,SALAM TRADING COMPANY,1.2684,"Attingal,Trivandrum",Kerala,8.695756977,76.81390294,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.695756976778018,+76.81390293867895/@9.3634761,75.8827348,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.8139029!2d8.695757!5m1!1e1?entry=ttu",175,,
SULPHUR POWDER,SALFA CHEMICALS,1.823,Edayar,Kerala,10.07854771,76.30833054,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.079137759660137,+76.30733170950452/@10.0074829,76.2064293,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3073317!2d10.0791378!5m1!1e1?entry=ttu",26,,
SWITCHES,SALZER ELECTRONICS LTD.,6.03999,Coimbatore,Tamil Nadu,11.1612636,76.93437084,"https://www.google.com/maps/dir/10.0070517,76.3058324/Salzer+Electronics+Limited,+Samichettipalayam,+Coimbatore,+Tamil+Nadu+641047/@11.1459796,76.9138144,14z/data=!4m9!4m8!1m1!4e1!1m5!1m1!1s0x3ba8f1389aa815df:0x84323f91764e3de3!2m2!1d76.9346344!2d11.1614453?entry=ttu",193,,
CARDAMOM,SAMEX INDIA P.LTD.,9.34546,Cumbum ,Tamil Nadu,9.734659684,77.27893958,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.733504433228449,+77.27802092329114/@9.8002649,76.4439457,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2780209!2d9.7335044!5m1!1e1?entry=ttu",163,,
RICE,SAMYS INTERNATIONAL,1.22651,Avinashi ,Tamil Nadu,11.14552822,77.31709545,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.145546071899672,+77.31688317629241/@11.2180315,75.896294,8z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3168832!2d11.1455461!5m1!1e1?entry=ttu",239,,
FROZEN SQUID,SAN MARINE EXPORTS,8.4071,"Sakthikulangara north,Kollam",Kerala,8.93219303,76.54679946,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.932199476857813,+76.54678422856044/@9.4693263,75.7515311,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5467842!2d8.9321995!5m1!1e1?entry=ttu",139,,
COTTON YARN,SAN TEX INC.,1.76402,Tiruppur,Tamil Nadu,11.15614487,77.34529621,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.156144869843208,+77.34529620738527/@10.5561497,76.1407142,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3452962!2d11.1561449!5m1!1e1?entry=ttu",237,,
FOOD STUFFS,SANA INTERNATIONAL,11.27795,Nedumbassery,Kerala,10.16224092,76.3757715,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.162240921495181,+76.37577149664706/@10.0455418,76.2307129,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3757715!2d10.1622409!5m1!1e1?entry=ttu",41.6,,
SANZIDIME,SANCE LABORATORIES P.LTD.,2.02862,Kozhuvanal,Kerala,9.666131558,76.65920845,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.666131558290783,+76.6592084533888/@9.8105294,76.2984524,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.6592085!2d9.6661316!5m1!1e1?entry=ttu",69.4,,
COTTON YARN,SANTHALAKSHMI MILLS P.LTD.,2.16165,Pollachi,Tamil Nadu,10.64930592,76.98173963,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.64930591672405,+76.9817396286374/@10.3242389,76.2893196,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9817396!2d10.6493059!5m1!1e1?entry=ttu",177,,
RICE,SARA SPICES,3.56232,Kunnatunad,Kerala,10.04461259,76.4216346,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.044612593803189,+76.421634604311/@9.9865277,76.3035341,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4216346!2d10.0446126!5m1!1e1?entry=ttu",28.7,,
COTTON GOODS,SARATHY EXPORT FABRICS,2.11049,Coimbatore,Kerala,11.01256499,77.24776461,"https://www.google.com/maps/dir/10.0070517,76.3058324/266W%2BRRH+Sarathy+exports+fabrics,+Tamil+Nadu+641662/@10.737922,76.8357825,8.74z/data=!4m9!4m8!1m1!4e1!1m5!1m1!1s0x3ba9abf7af05c8fb:0xbf600cc214ea1f17!2m2!1d77.2471153!2d11.0120796?entry=ttu",203,,
PLYWOOD,SARKAR HOLDING P.LTD.,1.114,Rayamangalam,Kerala,10.08464043,76.51957737,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.08502070133541,+76.5224956161362/@10.0080631,76.3180965,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5224956!2d10.0850207!5m1!1e1?entry=ttu",44.1,,
PLYWOOD,SARKAR PLYWOOD P.LTD.,12.6019,Rayamangalam,Kerala,10.08464043,76.51957737,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.08502070133541,+76.5224956161362/@10.0080631,76.3180965,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5224956!2d10.0850207!5m1!1e1?entry=ttu",44.1,,
COTTON GOODS,SATCHA TEXTILES,1.31873,Tiruppur,Tamil Nadu,11.12466725,77.32903738,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.124667253815248,+77.32903738037676/@10.8025963,76.507713,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.3290374!2d11.1246673!5m1!1e1?entry=ttu",238,,
COIR PITH,SATYAM COIR PRODUCTS,72.51555,Pollachi,Tamil Nadu,10.67253973,77.11446092,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.672539727178473,+77.11446092041189/@10.4167144,76.3557661,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.1144609!2d10.6725397!5m1!1e1?entry=ttu",193,,
PLYWOOD,SAURAV ENTERPRISES,59.84717,"Kalkere,Bengaluru",Karnataka,13.02691033,77.6612416,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/13.026910334582444,+77.6612416007595/@11.4773299,76.0641522,8z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.6612416!2d13.0269103!5m1!1e1?entry=ttu",558,,
TEXTILE MACHINERY,SAVIO INDIA LTD.,1.05812,"Thamairukulam,Pollachi",Tamil Nadu,10.77570103,77.01840836,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.776965785497238,+77.01643425585304/@10.4167144,76.308116,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.0164343!2d10.7769658!5m1!1e1?entry=ttu",198,,
VALVES,SCHUTTE MEYER ASHWATH ALLOYS,5.85227,Coimbatore,Tamil Nadu,10.96747993,77.16361347,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.967486466946049,+77.16366676177813/@10.930118,77.1360176,13.17z/data=!4m13!4m12!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m5!1m1!1s0x0:0xdf3f7cb23d5fdd4a!2m2!1d77.1636668!2d10.9674865!5m1!1e1?entry=ttu",210,,
VALVES,SCHUTTE MEYER IMPEX (P) LTD.,4.59185,"Vellakinar,Coimbatore",Tamil Nadu,11.06792938,76.95015118,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.06792937822612,+76.95015117985402/@10.4988316,75.9400845,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9501512!2d11.0679294!5m1!1e1?entry=ttu",197,,
COTTON GOODS,SCM GARMENTS P.LTD.,7.47135,Avinashi,Tamil Nadu,11.16694022,77.22803031,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.166970470925236,+77.22796785452039/@10.5483952,76.0829018,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.2279679!2d11.1669705!5m1!1e1?entry=ttu",222,,
FROZEN SHRIMPS,SEA HARVEST EXPORTS,3.96417,Ernakulam,Kerala,9.964832756,76.29000383,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.964634836552781,+76.28976758603999/@9.9544788,76.2731173,14.74z/data=!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2897676!2d9.9646348!5m1!1e1?entry=ttu",7.1,,
FROZEN YELLOW TUNA,SEABOY FISHERIES P.LTD.,23.29037,Puthenthope,Kerala,8.583836787,76.82772924,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.583783282428087,+76.82758166393738/@9.2644698,75.9288638,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.8275817!2d8.5837833!5m1!1e1?entry=ttu",191,,
FROZEN SQUID,SEAFOOD INNOVATIONS,23.33681,Kodumthurth,Kerala,9.802660611,76.322778,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.802660610759915,+76.32277799515201/@9.8777023,76.2127443,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.322778!2d9.8026606!5m1!1e1?entry=ttu",20.3,,
FROZEN OCTOPUS,SEAFRESH EXPORTS LTD,1.455,Kochi,Kerala,9.883548091,76.30182375,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.883548091046373,+76.3018237506216/@9.9192899,76.243394,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3018238!2d9.8835481?entry=ttu",9.9,,
FROZEN YELLOW TUNA,SEALINE MARINE PRODUCTS P.LTD.,6.07565,Chengannur,Kerala,9.334471311,76.6180962,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.334471310666734,+76.61809619687538/@9.656177,76.1126573,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.6180962!2d9.3344713?entry=ttu",96.8,,
COIR MATS,SEASON COIR EXPORTS,28.83676,Karthikapally,Kerala,9.256303148,76.45121197,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.25630314769708,+76.45121196961313/@9.6059926,76.0439032,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.451212!2d9.2563031?entry=ttu",89.2,,
PAPER,SESHSAYEE PAPER&BOARD,7.09155,Erode,Tamil Nadu,11.3496085,77.75935321,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.349608500813813,+77.75935321444565/@10.6403791,76.3226274,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.7593532!2d11.3496085?entry=ttu",296,,
RUBBER MATS,SEVEN SEAS TRADING COMPANY,15.47753,Alappuzha,Kerala,9.491681146,76.33355908,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.491681146280644,+76.33355907921604/@9.8252132,75.968323,10.22z/data=!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3335591!2d9.4916811?entry=ttu",55.2,,
PAPER BOARD,SGR MOULDS INDIA P.LTD.,1.96744,Erode,Tamil Nadu,11.2467566,77.54479014,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/11.246756595482998,+77.54479014195347/@10.5943519,76.2446624,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.5447901!2d11.2467566?entry=ttu",265,,
